id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
,Amsterdam Brewing Company,micro,45 Esandar Dr,,,Toronto,Ontario,M4G 4C5,Canada,4164872337,http://www.amsterdambeer.com,,
,Bandit Brewery,brewpub,76 Stafford St,,,Toronto,Ontario,M6J 2S1,Canada,,http://banditbrewery.ca,,
,Bellwoods Brewery,micro,124 Ossington Ave,,,Toronto,Ontario,M6J 2Z5,Canada,4163929040,http://bellwoodsbrewery.com,,
,Black Oak Brewing Company,micro,2 Director Ct,,,Toronto,Ontario,M9W 1K8,Canada,4167439653,http://www.blackoakbeer.com,,
,Blood Brothers Brewing,micro,165 Geary Ave,,,Toronto,Ontario,M6H 4H7,Canada,4165371836,http://www.bloodbrothersbrewing.com,,
,Burdock Brewery,brewpub,1184 Bloor St W,,,Toronto,Ontario,M6H 1N2,Canada,4163621506,http://www.burdockto.com,,
,Common Good Beer Company,micro,181 Carlaw Ave,,,Toronto,Ontario,M4M 2S1,Canada,,http://commongoodbeer.com,,
,Duggan's Brewery,brewpub,1496 Queen St W,,,Toronto,Ontario,M6R 1A2,Canada,4167037603,http://www.duggansbrewery.com,,
,Eastbound Brewing Co.,micro,1630 Queen St E,,,Toronto,Ontario,M4L 1G4,Canada,,http://eastboundbeer.com,,
,Godspeed Brewery,micro,46 Lakeport Rd,,,Toronto,Ontario,M4M 1B3,Canada,,https://godspeedbrewery.com,,
,Granite Brewery,brewpub,245 Eglinton Ave W,,,Toronto,Ontario,M4R 1B1,Canada,4164396894,http://www.granitebrewery.ca,,
,Great Lakes Brewery,micro,30 Queen Elizabeth Blvd,,,Toronto,Ontario,M8Z 1L8,Canada,4162539510,http://www.greatlakesbeer.com,,
,Halo Brewery,micro,247 Wallace Ave,,,Toronto,Ontario,M6H 1V5,Canada,,http://www.halobrewery.com,,
,Henderson Brewing Co.,micro,128 Sterling Rd,,,Toronto,Ontario,M6R 2B7,Canada,4166560055,http://www.hendersonbrewing.com,,
,Junction Craft Brewing,micro,150 Symes Rd,,,Toronto,Ontario,M6N 3T4,Canada,4164635090,https://junctioncraft.com,,
,Left Field Brewery,micro,36 Wagstaff Dr,,,Toronto,Ontario,M4L 3W7,Canada,4163621728,http://www.leftfieldbrewery.ca,,
,Muddy York Brewing Co.,micro,75 Abell St,,,Toronto,Ontario,M6J 0A6,Canada,,http://www.muddyyorkbrewing.com,,
,Radical Road Brewing,brewpub,1310 Queen St E,,,Toronto,Ontario,M4L 1C5,Canada,,https://www.radicalroadbrew.com,,
,Rainhard Brewing Co.,micro,100 Symes Rd,,,Toronto,Ontario,M6N 3T4,Canada,,http://rainhardbrewing.com,,
,Rorschach Brewing Co.,micro,1001 Eastern Ave,,,Toronto,Ontario,M4L 1B2,Canada,,https://www.rorschachbrewing.com,,
,Steam Whistle Brewing,micro,255 Bremner Blvd,,,Toronto,Ontario,M5V 3M9,Canada,4163622337,https://steamwhistle.ca,,
,555 Brewing Co.,micro,297 Main St,,,Wellington,Ontario,K0K 3L0,Canada,,http://www.555beer.com,,
,Barley Days Brewery,micro,13730 Loyalist Pkwy,,,Picton,Ontario,K0K 2T0,Canada,6137767600,https://www.barleydaysbrewery.com,,
,Lake on the Mountain Brewing Company,brewpub,1024 County Rd 7,,,Picton,Ontario,K0K 2T0,Canada,,http://lakeonthemountain.com,,
,Parsons Brewing Company,micro,2274 County Rd 5,,,Bloomfield,Ontario,K0K 1G0,Canada,,https://www.parsonsbrewing.com,,
,Prince Eddy's Brewing Co.,brewpub,7 King St,,,Picton,Ontario,K0K 2T0,Canada,,http://www.princeeddys.com,,
,Signal Brewing,micro,202 Barker St,,,Wellington,Ontario,K0K 3L0,Canada,,https://signal.beer,,
,The Collingwood Brewery,micro,229 Hurontario St,,,Collingwood,Ontario,L9Y 2M4,Canada,7054450311,http://www.thecollingwoodbrewery.com,,
