id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
a34cb542-e683-4e86-ac8a-d285f891f083,5 Paddles Brewing Company,micro,1 Industrial Blvd,,,Whitby,Ontario,L1N 9L5,Canada,9054445050,http://5paddlesbrewing.com,,
12e7f950-af94-4014-abdf-e09600209de9,555 Brewing Co.,micro,297 Main St,,,Wellington,Ontario,K0K 3L0,Canada,,http://www.555beer.com,,
77789be2-5bfb-4a17-9e85-5cf50411d2f3,Abe Erb Brewery,brewpub,41 King William St,,,Kitchener,Ontario,N2G 1A1,Canada,5197420009,http://abeerb.com,,
3739eb53-8291-42e1-894c-7989ed872f2d,All or Nothing Brewhouse,brewpub,165 Lakeshore Rd E,,,Oakville,Ontario,L6J 1H3,Canada,,http://allornothing.beer,,
0ca6da59-db74-429b-97b4-d718d78f6deb,Amsterdam Brewing Company,micro,45 Esandar Dr,,,Toronto,Ontario,M4G 4C5,Canada,4164872337,http://www.amsterdambeer.com,,
20502436-b1ab-4f6a-9df4-36f465071947,Anderson Craft Ales,micro,1030 Elias St,,,London,Ontario,N5W 5J7,Canada,,http://andersoncraftales.ca,,
d7d60dca-5554-4aea-b906-bd768ae233a0,Arch Brewing Co.,micro,13355 Yonge St,,,Richmond Hill,Ontario,L4E 3L8,Canada,,http://www.archbrewing.ca,,
498bf37e-252d-449e-af2c-3dbd35460466,Bad Apple Brewing Co.,micro,190 Manitoba St,,,Bracebridge,Ontario,P1L 2E3,Canada,,http://badapplebrewingco.ca,,
17a7386f-9f99-4c2b-b847-4aa2b791bf05,Bandit Brewery,brewpub,76 Stafford St,,,Toronto,Ontario,M6J 2S1,Canada,,http://banditbrewery.ca,,
cc639400-030e-4c56-847a-389d6d81bc97,Barley Days Brewery,micro,13730 Loyalist Pkwy,,,Picton,Ontario,K0K 2T0,Canada,6137767600,https://www.barleydaysbrewery.com,,
fb2b0bca-8849-4d19-a8cd-f044cbf1fe55,Barnstormer Brewing Co.,brewpub,28 Dunlop St E,,,Barrie,Ontario,L4M 1A4,Canada,7057353756,https://www.barnstormerbrewing.com,,
6885d1ac-13d1-42ff-ac3d-2f866bedf605,Bayside Brewing Co.,micro,225 Christina St N,,,Sarnia,Ontario,N7T 5T7,Canada,,http://baysidebrewing.com,,
204cdaa7-75b2-43dd-b8af-b63c9a7961dd,Beau's All Natural Brewing Co.,micro,10 Terry Fox Dr,,,Vankleek Hill,Ontario,K0B 1R0,Canada,6136785444,https://beaus.ca,,
29e656e8-ff0c-405f-831f-a750d3116d08,Bellwoods Brewery,micro,124 Ossington Ave,,,Toronto,Ontario,M6J 2Z5,Canada,4163929040,http://bellwoodsbrewery.com,,
9d994a2e-256e-48c8-ad38-d69aa67996bb,Beyond the Pale Brewing Company,micro,403 Churchill Ave N,,,Ottawa,Ontario,K1Z 5C2,Canada,6132803822,http://beyondthepale.ca,,
3175793e-d45a-4519-9a82-82f525bb7f54,Bicycle Craft Brewery,micro,1840 St Joseph Blvd,,,Ottawa,Ontario,K1C 7E6,Canada,,http://www.bicyclecraftbrewery.ca,,
b6988045-ad5b-4efd-863f-27b605894ea7,Big Rig Brewery,brewpub,2750 Iris St,,,Ottawa,Ontario,K2C 1E5,Canada,6137260100,http://bigrigbrewery.com,,
1250da4a-c68e-46f0-99c1-60b2997921f9,Black Oak Brewing Company,micro,2 Director Ct,,,Toronto,Ontario,M9W 1K8,Canada,4167439653,http://www.blackoakbeer.com,,
b201fa1b-71b9-4160-9d23-941fe2f57066,Block Three Brewing Company,micro,100 Victoria St N,,,Kitchener,Ontario,N2H 2A9,Canada,,https://www.blockthreebrewing.com,,
b493f79d-6762-42e9-9955-4fedfd7f6861,Blood Brothers Brewing,micro,165 Geary Ave,,,Toronto,Ontario,M6H 4H7,Canada,4165371836,http://www.bloodbrothersbrewing.com,,
fdb77a16-2e71-4c16-8158-fbe65870b7b3,Bobcaygeon Brewing Company,micro,26 King St E,,,Bobcaygeon,Ontario,K0M 1A0,Canada,,http://bobcaygeonbrewing.ca,,
020c681e-a4f5-4616-99e9-0e78cff9e994,Boshkung Brewing Co.,micro,1012 Loop Rd,,,Algonquin Highlands,Ontario,K0M 1J1,Canada,7053585855,http://boshkungbrewing.com,,
35966c1a-739e-4633-a101-b0e8514a2735,Brew Windsor,micro,683 Ouellette Ave,,,Windsor,Ontario,N9A 1C3,Canada,,http://brewwindsor.com,,
9803341b-2108-4250-9d1e-27132bfa4946,Broadhead Brewing Co.,micro,1121 Cyrville Rd,,,Ottawa,Ontario,K1J 7S3,Canada,,http://broadheadbeer.com,,
649336ec-68f5-4c35-90cb-6d32af27abfa,Brock Street Brewing Company,micro,1 Industrial Blvd Unit 7,,,Whitby,Ontario,L1N 9L5,Canada,,http://www.brockstreetbrewing.com,,
3ca3fe8c-209f-44f1-8a87-3f3d7f54bd19,Burdock Brewery,brewpub,1184 Bloor St W,,,Toronto,Ontario,M6H 1N2,Canada,4163621506,http://www.burdockto.com,,
266a97b9-5013-4012-bc9f-c27c7f8a5d13,Calabogie Brewing Co.,brewpub,574 Mill St,,,Calabogie,Ontario,K0J 1H0,Canada,6137523478,http://calabogiebrewingco.ca,,
5c42832e-86d1-43e6-b033-88ed83f83d3d,Cameron's Brewing Company,micro,1165 Invicta Dr,,,Oakville,Ontario,L6H 4M1,Canada,9058450911,https://www.cameronsbrewing.com,,
a1a8b451-fe84-43f7-a00c-46059c5a889d,Cassel Brewery,micro,250 Casselholme Dr,,,North Bay,Ontario,P1B 4N2,Canada,,http://casselbrewery.ca,,
def30ac0-737d-435e-b764-88f252f8ad5d,Church Key Brewing,micro,1678 Glanmire Rd,,,Campbellford,Ontario,K0L 1L0,Canada,7054572561,http://www.churchkeybrewing.com,,
32ce7740-35df-499c-ba53-48bc27eb8541,Clear Lake Brewing Co.,micro,26 Quebec St,,,Bracebridge,Ontario,P1L 1Y7,Canada,,http://clearlakebrewing.co,,
0812a781-7b7d-4adb-9082-2294475d2a05,Clifford Brewing Co.,micro,330 Burlington St E,,,Hamilton,Ontario,L8L 4H8,Canada,9055232337,http://www.cliffordbrewing.com,,
3c2f51f5-00c0-4614-b170-ab52cdf5c1b2,Collective Arts Brewing,micro,207 Burlington St E,,,Hamilton,Ontario,L8L 4H7,Canada,9055404278,https://collectiveartsbrewing.com,,
394fd1dd-7083-4c3e-a527-51a79dff91f6,Common Good Beer Company,micro,181 Carlaw Ave,,,Toronto,Ontario,M4M 2S1,Canada,,http://commongoodbeer.com,,
04a2327e-0380-44ef-b0c6-94fa84febb06,Cowbell Brewing Co.,micro,40 Blyth St,,,Blyth,Ontario,N0M 1H0,Canada,5195239121,https://cowbellbrewing.com,,
1ac75adb-8fc3-41fd-b773-2d0872580539,Crooked Mile Brewing Co.,micro,5010 Timberlea Blvd,,,Mississauga,Ontario,L4W 2S7,Canada,,http://crookedmile.ca,,
00fa7ab2-20f8-47a5-b682-dabf5d7c6ab0,Descendants Beer Co.,micro,44 Victoria St N,,,Kitchener,Ontario,N2H 5C4,Canada,,https://www.descendantsbeer.com,,
dd0ad6d5-7fea-4de2-b838-44cd50c4e18b,Dominion City Brewing Co.,micro,5510 Canotek Rd,,,Ottawa,Ontario,K1J 9J5,Canada,6135686474,http://www.dominioncity.ca,,
43a24b7c-34e5-4488-a6d6-dcdb5ab7714a,Duggan's Brewery,brewpub,1496 Queen St W,,,Toronto,Ontario,M6R 1A2,Canada,4167037603,http://www.duggansbrewery.com,,
cbb72126-15db-4899-b8fc-057ee8d90036,Eastbound Brewing Co.,micro,1630 Queen St E,,,Toronto,Ontario,M4L 1G4,Canada,,http://eastboundbeer.com,,
56ee2e0b-8a21-47a6-a247-0e490ca1d0fc,Elora Brewing Company,brewpub,0 Metcalfe St,,,Elora,Ontario,N0B 1S0,Canada,5198468383,http://elorabrewingcompany.ca,,
68ecfe89-fccb-4419-ae21-5fa676e98542,Exchange Brewery,micro,7 Queen St,,,Niagara-on-the-Lake,Ontario,L0S 1J0,Canada,9056844440,http://exchangebrewery.com,,
b8f0ed1a-9410-4b97-b234-7e8ac11843f5,Fairweather Brewing,micro,1 Hess St S,,,Hamilton,Ontario,L8P 3M7,Canada,,http://fairweatherbrewing.com,,
8e0bb058-2e09-43d2-81e7-0744f6123f70,Fixed Gear Brewing Co.,micro,400 Woolwich St,,,Guelph,Ontario,N1H 3W9,Canada,,https://www.fixedgearbrewing.com,,
a8d7fc1c-e8b7-4ace-9d90-11ffb197b04a,Flying Monkeys Craft Brewery,micro,107 Dunlop St E,,,Barrie,Ontario,L4M 1A6,Canada,7057392739,http://www.flyingmonkeys.ca,,
b5d9a974-65bb-4ca1-8019-589fb3713cff,Forked River Brewing Company,micro,10 King St,,,London,Ontario,N6A 5T7,Canada,5199856630,http://www.forkedriverbrewing.com,,
33fc6a80-6fff-419d-9615-7798e7731892,FRANK Brewing Co.,micro,1604 Lesperance Rd,,,Tecumseh,Ontario,N8N 1Y3,Canada,,http://frankbeer.ca,,
0e48b789-306a-4125-8e8f-8b50fd92e62b,Full Beard Brewing Co.,micro,285 Third Ave,,,Timmins,Ontario,P4N 1E3,Canada,,https://fullbeardbrewing.com,,
90539082-cb3e-473d-b92a-76d56014bc68,Gananoque Brewing Company,micro,185 Mill St,,,Gananoque,Ontario,K7G 2H5,Canada,,http://www.ganbeer.com,,
e37b7b3e-aca0-4960-a20f-b2bac73c781d,Godspeed Brewery,micro,46 Lakeport Rd,,,Toronto,Ontario,M4M 1B3,Canada,,https://godspeedbrewery.com,,
2eb3956d-8d81-45a8-b31d-71b3619a4251,GoodLot Farmstead Brewing,micro,4074 Eighteenth Line,,,Orangeville,Ontario,L9W 2Z3,Canada,,http://www.goodlot.beer,,
4047e583-8b15-4dd1-b0c6-5c5a235a79a6,Grain and Grit Beer Co.,micro,10 George St,,,Hamilton,Ontario,L8P 1C8,Canada,,http://www.grainandgritbeer.com,,
5d4d44c6-61ca-47c5-a051-5bcf6d0186d5,Grand River Brewing,micro,37 Wellington St N,,,Cambridge,Ontario,N1R 3B1,Canada,5196232462,http://grandriverbrewing.com,,
28927cee-4ea2-4de1-87c1-2f4114e4b0f3,Granite Brewery,brewpub,245 Eglinton Ave W,,,Toronto,Ontario,M4R 1B1,Canada,4164396894,http://www.granitebrewery.ca,,
9403b367-4571-4200-98f5-de9e3a0f0ed7,Great Lakes Brewery,micro,30 Queen Elizabeth Blvd,,,Toronto,Ontario,M8Z 1L8,Canada,4162539510,http://www.greatlakesbeer.com,,
84b18741-470d-4d6f-943d-908de06fd735,Half Hours on Earth Brewery,micro,97 Albert St,,,Wingham,Ontario,N0G 2W0,Canada,,https://www.halfhoursonearth.com,,
648f0e13-3135-476a-80ae-0a5ef23a4ce2,Halo Brewery,micro,247 Wallace Ave,,,Toronto,Ontario,M6H 1V5,Canada,,http://www.halobrewery.com,,
66c7d391-abe6-479a-a868-950980569cb0,Henderson Brewing Co.,micro,128 Sterling Rd,,,Toronto,Ontario,M6R 2B7,Canada,4166560055,http://www.hendersonbrewing.com,,
e099cc08-c0e6-4c49-a394-e0abbbf80e1f,Hockley Valley Brewing Co.,micro,793522 3rd Line E,,,Orangeville,Ontario,L9W 0M7,Canada,5194417111,http://www.hockleybeer.ca,,
13ebd596-b526-4300-bd8d-428e7b8fd0eb,Junction Craft Brewing,micro,150 Symes Rd,,,Toronto,Ontario,M6N 3T4,Canada,4164635090,https://junctioncraft.com,,
b80de1f8-1c9a-474a-b2de-553bfd735215,Kichesippi Beer Co.,micro,986 Baker St,,,Ottawa,Ontario,K1G 4L6,Canada,6137444777,https://www.kbeer.ca,,
f22972c5-ad12-4505-8382-1ad270c448e9,King's Town Beer Co.,micro,732 Arlington Park Pl,,,Kingston,Ontario,K7M 8L6,Canada,,http://kingstownbeerco.ca,,
c2f7d2c8-c197-4c7c-b4b3-f71f0f0b45dc,Kingston Brewing Company,brewpub,34 Clarence St,,,Kingston,Ontario,K7L 1W9,Canada,6135424978,https://www.kingstonbrewing.ca,,
64246a31-dd77-41ac-8c9d-e19537d2d930,Lake of Bays Brewing Company,micro,1076 Heritage Rd,,,Baysville,Ontario,P0B 1A0,Canada,7053624592,http://lakeofbaysbrewing.ca,,
0d1b5a48-ce0c-4427-90f3-0dd4ea434c0f,Lake of the Woods Brewing Company,micro,300 2nd St S,,,Kenora,Ontario,P9N 1G5,Canada,8074674256,https://www.lowbrewco.com,,
999f96a4-606b-413a-8690-7a514d854e1c,Lake on the Mountain Brewing Company,brewpub,1024 County Rd 7,,,Picton,Ontario,K0K 2T0,Canada,,http://lakeonthemountain.com,,
deae4bd7-911b-4aba-ba5c-70b7312954db,Lake Wilcox Brewing Co.,micro,55 Lake Dr S,,,Richmond Hill,Ontario,L4E 3B6,Canada,,http://www.lakewilcoxbrewing.com,,
046737e4-5355-4774-b25e-e28c6578adca,Left Field Brewery,micro,36 Wagstaff Dr,,,Toronto,Ontario,M4L 3W7,Canada,4163621728,http://www.leftfieldbrewery.ca,,
caf2b8c6-7faa-4be7-86d8-22aaac79e521,Lock Street Brewing Co.,micro,10 Lock St,,,Thorold,Ontario,L2V 1X5,Canada,,http://www.carouselale.com,,
3324d3c6-8ab8-4089-a8a2-b723530245c9,London Brewing Co-Op,micro,521 Adelaide St N,,,London,Ontario,N6B 3H4,Canada,,http://londonbrewing.ca,,
0797faf2-4242-48fe-932c-a3f72ad4165c,MacKinnon Brothers Brewing,micro,285 Gum Thicket Rd,,,Bath,Ontario,K0H 1G0,Canada,6133523822,http://www.mackinnonbrewing.com,,
6bc85f45-2909-42f9-be78-7325f72f37eb,Maclean's Ales,micro,292 10th St,,,Hanover,Ontario,N4N 1P4,Canada,,http://macleansales.ca,,
9f449623-c52f-42ee-80c4-53ac4bbc9470,Manantler Craft Brewing Company,micro,36 Maitland St,,,Bowmanville,Ontario,L1C 1V1,Canada,,https://www.manantler.com,,
fe091d44-ae9c-4caa-af25-5ea23e04ed86,Market Brewing Company,micro,3091 Major Mackenzie Dr W,,,Vaughan,Ontario,L6A 0Y8,Canada,,https://marketbrewingco.com,,
6e1c6d03-7cfb-4f72-9262-a9f0d05f02b1,Mash Paddle Brewing Co.,micro,14 Main St E,,,Delhi,Ontario,N4B 2L7,Canada,,http://mashpaddlebrewing.com,,
5fac08f8-8dfb-4e64-959c-da1795bea1aa,Merit Brewing,brewpub,1 James St S,,,Hamilton,Ontario,L8P 4R5,Canada,9053128978,http://www.meritbrewing.ca,,
b29211cd-927c-41e6-a187-654294b7566a,Motor Craft Ales,micro,585 Janette Ave,,,Windsor,Ontario,N9A 4Z3,Canada,,http://thisismotor.com,,
0a25c802-e687-43b7-b6ac-6774f7af1dd0,Muddy York Brewing Co.,micro,75 Abell St,,,Toronto,Ontario,M6J 0A6,Canada,,http://www.muddyyorkbrewing.com,,
5daf4b74-1754-46c0-947c-8b5f5b3c9ad6,Muskoka Brewery,micro,1964 Muskoka Beach Rd,,,Bracebridge,Ontario,P1L 1W9,Canada,7056457337,https://muskokabrewery.com,,
29eee524-07d3-40bd-9916-571ffff18b34,Neustadt Springs Brewery,micro,456 Jacob St,,,Neustadt,Ontario,N0G 2M0,Canada,5199993999,http://www.neustadtsprings.com,,
